PeakID (cmd=annotatePeaks.pl 07_macs2_peaks_calling/cKO_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
cKO_peak_286	chr1	88277046	88277685	+	812	NA	intron (NM_198652, intron 1 of 7)	CpG-383	192	NM_172505	212427	Mm.384762	NM_172505		A730008H23Rik	Fleg1	RIKEN cDNA A730008H23 gene	protein-coding
cKO_peak_9203	chr7	73557349	73558444	+	677	NA	intron (NR_037569, intron 1 of 4)	CpG	499	NR_037569	69170	Mm.34539	NR_037569	ENSMUSG00000101970	1810026B05Rik	-	RIKEN cDNA 1810026B05 gene	ncRNA
cKO_peak_479	chr1	157411681	157412648	+	563	NA	promoter-TSS (NR_027984)	promoter-TSS (NR_027984)	-188	NR_027984	69953	Mm.286863	NM_027274	ENSMUSG00000049881	2810025M15Rik	AI429618	RIKEN cDNA 2810025M15 gene	ncRNA
cKO_peak_6763	chr3	138527266	138528148	+	550	NA	intron (NM_007917, intron 2 of 7)	CpG	439	NM_001313980	13684	Mm.3941	NM_007917	ENSMUSG00000028156	Eif4e	EG668879|Eif4e-ps|If4e|eIF-4E	eukaryotic translation initiation factor 4E	protein-coding
cKO_peak_273	chr1	86526745	86528302	+	538	NA	intron (NR_153834, intron 1 of 4)	CpG-365	966	NR_153833	19231	Mm.19187	NM_008972	ENSMUSG00000026238	Ptma	Thym	prothymosin alpha	protein-coding
cKO_peak_9629	chr8	13757641	13758098	+	537	NA	intron (NM_001357247, intron 1 of 16)	CpG	213	NM_027276	69957	Mm.182412	NM_027276	ENSMUSG00000038416	Cdc16	2700071J12Rik|2810431D22Rik|APC6	CDC16 cell division cycle 16	protein-coding
cKO_peak_9294	chr7	97579183	97580785	+	526	NA	promoter-TSS (NM_183251)	promoter-TSS (NM_183251)	88	NM_001081267	233532	Mm.43977	NM_001081267	ENSMUSG00000035623	Rsf1	4832420A03Rik|C030033M12Rik|Gm164|Hbxap|XAP8|p325	remodeling and spacing factor 1	protein-coding
cKO_peak_5457	chr2	23571561	23572137	+	514	NA	5' UTR (NM_001165997, exon 1 of 12)	5' UTR (NM_001165997, exon 1 of 12)	255	NM_029773	76857	Mm.276415	NM_029773	ENSMUSG00000026771	Spopl	4921517N04Rik|AU014935|BB233739|E430033K04Rik	speckle-type BTB/POZ protein-like	protein-coding
cKO_peak_1050	chr10	89685615	89686562	+	502	NA	promoter-TSS (NR_130956)	promoter-TSS (NR_130956)	206	NM_198021	213326	Mm.27651	NM_198021	ENSMUSG00000069539	Scyl2	AU015688|AW536445|BC030932|CVAK104|D10Ertd802e	SCY1-like 2 (S. cerevisiae)	protein-coding
cKO_peak_411	chr1	134560190	134561660	+	502	NA	intron (NM_152895, intron 1 of 26)	CpG	747	NM_152895	75605	Mm.28995	NM_152895	ENSMUSG00000042207	Kdm5b	2010009J12Rik|2210016I17Rik|AW556288|D1Ertd202e|Jarid1b|PLU-1|PUT1|Plu1|RBBP2H1A|Rb-Bp2|mKIAA4034	lysine (K)-specific demethylase 5B	protein-coding
